"idetudiant";"nom";"prenom";"civilite";"date_naissance";"lieu_naissance";"dept_naissance";"nationalite";"email";"emailperso";"domicile";"codepostaldomicile";"villedomicile";"paysdomicile";"telephone";"telephonemobile";"typeadresse";"boursier";"idadmission";"anneeadmission";"bac";specialite;"annee_bac";"math";"physique";"anglais";"francais";codelycee;"nomlycee";"villelycee";"codepostallycee"
240;Hubert;Louis;M;1999-05-24;Montpellier;Hérault;France;louis.hubert@etu.umontpellier.fr;louis.hubert@gmail.com;"22 Avenue des Fontanilles";"34460";Cessenon-sur-Orb;France;"06.22.54.68.39";"06.40.14.58.94";domicile;false;186;2017;S;SVT/ISN;2017;13.0;12.94;10.0;12.0;"0840075A";Lycée St Louis;Orange;"84"
241;Gonzalez;Timothée;M;1999-09-11;Montpellier;Hérault;France;timothée.gonzalez@etu.umontpellier.fr;timothée.gonzalez@gmail.com;"16 Rue du Plan du Four";"34660";Cournonterral;France;"06.94.31.02.88";"06.41.04.26.76";domicile;false;187;2017;S;SVT/ISN;2017;11.0;13.65;18.0;13.0;"0132495S";Lycée Arthur Rimbaud;Istres;"13"
242;Guichard;Dylan;M;1999-03-13;Montpellier;Hérault;France;dylan.guichard@etu.umontpellier.fr;dylan.guichard@gmail.com;"15 Route de Gourgas";"34700";Saint-Étienne-de-Gourgas;France;"06.52.14.86.86";"06.57.36.79.16";domicile;false;188;2017;STI2D;SIN;2017;;;;;"0341794R";Lycée Jean-Francois Champollion;Lattes;"34"
244;Lafon;Amine;M;1999-11-03;Montpellier;Hérault;France;amine.lafon@etu.umontpellier.fr;amine.lafon@gmail.com;"10F Chemin des Pins";"34850";Pinet;France;"06.75.85.26.40";"06.34.80.90.30";domicile;true;190;2017;S;SVT/PC;2017;14.0;13.52;17.0;13.0;"0301778V";Lycée Jacques Prévert;Saint-Christol-les-Ales;"30"
245;Cros;Paul;M;1999-05-31;Montpellier;Hérault;France;paul.cros@etu.umontpellier.fr;paul.cros@gmail.com;"29 Grand Rue";"34390";Saint-Étienne-d'Albagnan;France;"06.57.09.93.69";"06.03.53.48.92";domicile;false;191;2017;STI2D;SIN;2017;;;;;"0300026R";Lycée Dhuoda;Nîmes;"30"
313;Tardy;Dimitri;M;1998-12-24;Montpellier;Hérault;France;dimitri.tardy@etu.umontpellier.fr;dimitri.tardy@gmail.com;"26 Residence le Clos de Socorro";"34420";Portiragnes;France;"06.27.34.56.16";"06.17.01.95.10";domicile;true;192;2017;STI2D;SIN;2017;;;;;"0840021S";Lycée Alphonse Benoit;L'Isle-sur-la-Sorgue;"84"
248;Husson;Adam;M;1999-04-27;Montpellier;Hérault;France;adam.husson@etu.umontpellier.fr;adam.husson@gmail.com;"2 Rue de l'Ancienne Gare";"34210";Beaufort;France;"06.39.72.79.81";"06.77.96.73.20";domicile;false;195;2017;S;;2017;;;;;;;;
21;Huguet;Éléna;F;1999-07-18;Montpellier;Hérault;France;éléna.huguet@etu.umontpellier.fr;éléna.huguet@gmail.com;"32 Chemin de Notre-Dame à Saint-Martin";"34300";Agde;France;"06.07.00.76.51";"06.86.75.20.26";domicile;true;196;2017;S;SVT/ISN;2017;7.0;11.18;13.0;11.0;"0420031F";Lycée Jean Puy;Roanne;"42"
249;Prost;Timothée;M;1999-03-22;Montpellier;Hérault;France;timothée.prost@etu.umontpellier.fr;timothée.prost@gmail.com;"28 Rue des Oliviers";"34480";Puimisson;France;"06.33.84.63.54";"06.39.10.21.49";domicile;false;197;2017;S;;2017;;;;;;;;
304;Toussaint;Quentin;M;1999-07-01;Montpellier;Hérault;France;quentin.toussaint@etu.umontpellier.fr;quentin.toussaint@gmail.com;"18 Traverse des Magnants";"34620";Puisserguier;France;"06.73.76.10.51";"06.55.64.75.75";domicile;false;198;2017;S;SVT/SVT;2017;10.0;11.65;10.0;14.0;"9740952S";Lycée Pierre Poivre;Saint-Joseph;"974"
250;Rossignol;Adrian;M;1998-11-13;Montpellier;Hérault;France;adrian.rossignol@etu.umontpellier.fr;adrian.rossignol@gmail.com;"3 Rue des Oliviers";"34460";Cessenon-sur-Orb;France;"06.97.74.70.36";"06.91.73.00.99";domicile;true;199;2017;;;2016;15.0;14.21;13.0;8.5;"0342321N";Université de Montpellier;Montpellier;"34"
251;Chretien;Romain;M;1999-06-03;Montpellier;Hérault;France;romain.chretien@etu.umontpellier.fr;romain.chretien@gmail.com;"10 Camin das Fanabrégas";"34270";Saint-Mathieu-de-Tréviers;France;"06.35.58.85.78";"06.75.64.31.42";domicile;false;201;2017;S;SI;2017;17.0;13.71;14.0;9.0;"0340002T";Lycée Auguste Loubatieres;Agde;"34"
252;Legrand;Noah;M;1999-08-20;Montpellier;Hérault;France;noah.legrand@etu.umontpellier.fr;noah.legrand@gmail.com;"6 Rue du Jasmin";"34720";Caux;France;"06.86.65.91.92";"06.90.56.56.57";domicile;false;202;2017;S;SVT/ISN;2017;13.0;13.0;10.0;13.0;"0342066L";Lycée Jean Jaures;Saint-Clément-de-Riviere;"34"
253;Tanguy;Noah;M;2000-02-27;Montpellier;Hérault;France;noah.tanguy@etu.umontpellier.fr;noah.tanguy@gmail.com;"2Y Chemin de Fouscais";"34800";Brignac;France;"06.29.30.32.74";"06.60.85.65.58";domicile;false;203;2017;S;SVT/SVT;2017;15.0;13.07;17.0;12.0;"0341921D";Lycée Georges Pompidou;Castelnau-le-Lez;"34"
254;Tellier;Antoine;M;1998-06-09;Montpellier;Hérault;France;antoine.tellier@etu.umontpellier.fr;antoine.tellier@gmail.com;"12 Boulevard Gambetta";"34370";Cazouls-lès-Béziers;France;"06.34.96.05.20";"06.68.17.17.60";domicile;true;204;2017;;;2016;18.0;14.05;12.0;7.5;"0342321N";Université de Montpellier;Montpellier;"34"
255;Deschamps;Kyllian;M;1999-07-23;Montpellier;Hérault;France;kyllian.deschamps@etu.umontpellier.fr;kyllian.deschamps@gmail.com;"226 Rue de Font-Couverte";"34070";Montpellier;France;"06.49.04.49.17";"06.34.76.81.26";domicile;false;205;2017;S;SI/MATHS;2017;13.0;13.63;15.0;13.5;"0600020W";Lycée Marie Curie;Nogent-sur-Oise;"60"
256;Marechal;Hugo;M;1999-03-08;Montpellier;Hérault;France;hugo.marechal@etu.umontpellier.fr;hugo.marechal@gmail.com;"488 Rue Hector Berlioz";"34980";Saint-Gély-du-Fesc;France;"06.99.93.22.57";"06.34.65.23.15";domicile;false;206;2017;S;SVT/MATHS;2017;9.0;13.02;17.0;13.5;"0660004W";Lycée Deodat De Severac;Céret;"66"
20;Bonnet;Angelina;F;1998-10-27;Montpellier;Hérault;France;angelina.bonnet@etu.umontpellier.fr;angelina.bonnet@gmail.com;"274 Chemin de Marcouls";"34330";La Salvetat-sur-Agout;France;"06.29.58.50.78";"06.45.90.72.79";domicile;false;229;2017;S;;2016;;;;;;;;
22;Lesage;Nina;F;1999-03-03;Montpellier;Hérault;France;nina.lesage@etu.umontpellier.fr;nina.lesage@gmail.com;"7 Allée des Terres du Soleil";"34670";Baillargues;France;"06.90.79.69.05";"06.51.89.79.12";domicile;false;209;2017;S;SVT/ISN;2017;10.0;12.42;14.0;13.0;"0342090M";Lycée Victor Hugo;Lunel;"34"
305;Huet;Mathéo;M;1999-08-12;Montpellier;Hérault;France;mathéo.huet@etu.umontpellier.fr;mathéo.huet@gmail.com;"27 Rue Charles Camichel";"34530";Montagnac;France;"06.69.10.75.59";"06.26.14.11.47";domicile;true;211;2017;STI2D;SIN;2017;;;;;"0440069L";Lycée Aristide Briand;Saint-Nazaire;"44"
309;Berthier;Dylan;M;1999-10-15;Montpellier;Hérault;France;dylan.berthier@etu.umontpellier.fr;dylan.berthier@gmail.com;"1 Rue des Capitelles";"34370";Maureilhan;France;"06.17.14.26.75";"06.77.73.54.73";domicile;false;212;2017;STI2D;SIN;2017;;;;;"0300950V";Lycée Albert EINSTEIN;Bagnols-sur-Ceze;"30"
34;Zimmermann;Célia;F;1998-09-24;Montpellier;Hérault;France;célia.zimmermann@etu.umontpellier.fr;célia.zimmermann@gmail.com;"26 Rue de Normandie";"34350";Valras-Plage;France;"06.36.09.22.50";"06.65.90.11.60";domicile;false;208;2017;;;2016;;;;;"0342321N";Université de Montpellier;Montpellier;"34"
260;Martins;Corentin;M;1998-09-15;Montpellier;Hérault;France;corentin.martins@etu.umontpellier.fr;corentin.martins@gmail.com;"22 Avenue de la Gare";"34460";Cessenon-sur-Orb;France;"06.62.51.02.45";"06.02.90.42.51";domicile;false;158;2017;;;2016;13.0;14.0;17.0;16.5;;Univérsité de Montréal;Montréal;"99"
233;Huguet;Léonard;M;1999-10-05;Montpellier;Hérault;France;léonard.huguet@etu.umontpellier.fr;léonard.huguet@gmail.com;"1 Rue du Couvent";"34480";Pouzolles;France;"06.76.03.77.82";"06.80.03.72.28";domicile;false;178;2017;STI2D;SIN;2017;;;;;"0660014G";Lycée Pablo Picasso;Perpignan;"66"
19;Muller;Marion;F;1999-08-04;Montpellier;Hérault;France;marion.muller@etu.umontpellier.fr;marion.muller@gmail.com;"15 Rue Saint-Baudille";"34150";Gignac;France;"06.08.24.75.04";"06.10.46.19.68";domicile;false;179;2017;S;SVT/ISN;2017;9.0;13.55;16.0;9.0;"0342090M";Lycée Victor Hugo;Lunel;"34"
238;Grenier;Alexis;M;1999-11-24;Montpellier;Hérault;France;alexis.grenier@etu.umontpellier.fr;alexis.grenier@gmail.com;"2 Chemin Espeillac Vives";"34370";Maraussan;France;"06.48.51.97.51";"06.39.24.50.03";domicile;false;231;2017;S;SVT/ISN;2017;15.0;14.05;18.0;10.0;"0342066L";Lycée Jean Jaures;Saint-Clément-de-Riviere;"34"
268;Verdier;Julien;M;1994-11-14;Montpellier;Hérault;France;julien.verdier@etu.umontpellier.fr;julien.verdier@gmail.com;"23 Rue des Pompes";"34810";Pomérols;France;"06.22.35.62.51";"06.94.33.47.44";domicile;false;216;2017;;;2012;18.0;14.15;17.0;13.0;;;;
24;Valentin;Alexis;M;1998-02-09;Montpellier;Hérault;France;alexis.valentin@etu.umontpellier.fr;alexis.valentin@gmail.com;"23TER Rue Roger Laur";"34490";Murviel-lès-Béziers;France;"06.99.19.41.23";"06.92.75.58.68";domicile;false;217;2017;S;SVT/ISN;2017;16.0;12.97;11.0;11.5;"0660057D";Lycée Climatique et sportif Pierre de Coubertin;Font-Romeu-Odeillo-Via;"66"
323;Fontaine;Simon;M;1999-05-11;Montpellier;Hérault;France;simon.fontaine@etu.umontpellier.fr;simon.fontaine@gmail.com;"1 Rue Victor Hugo";"34140";Mèze;France;"06.33.92.29.35";"06.03.78.28.61";domicile;false;218;2017;S;;2017;;;;;;;;
26;Gueguen;Jasmine;F;1999-02-21;Montpellier;Hérault;France;jasmine.gueguen@etu.umontpellier.fr;jasmine.gueguen@gmail.com;"7 Rue de Saint-Andrews";"34500";Béziers;France;"06.14.64.52.53";"06.14.10.19.62";domicile;true;220;2017;S;SVT/MATHS;2017;13.0;13.57;16.0;12.5;"0840017M";Lycée Ismael Dauphin;Cavaillon;"84"
264;Becker;Thomas;M;1999-06-25;Montpellier;Hérault;France;thomas.becker@etu.umontpellier.fr;thomas.becker@gmail.com;"305 Rue de Chambert";"34080";Montpellier;France;"06.29.96.45.70";"06.48.17.15.81";domicile;false;285;2017;S;;2017;;;;;;;;
265;Becker;Jordan;M;1997-06-02;Montpellier;Hérault;France;jordan.becker@etu.umontpellier.fr;jordan.becker@gmail.com;"19Q Avenue de Mauguio";"34130";Candillargues;France;"06.82.74.50.60";"06.10.49.97.09";domicile;false;222;2017;STI2D;SIN;2017;;;;;"0300026R";Lycée Dhuoda;Nîmes;"30"
306;Gerard;Pierre;M;1998-04-27;Montpellier;Hérault;France;pierre.gerard@etu.umontpellier.fr;pierre.gerard@gmail.com;"4 Rue du Romarin";"34690";Fabrègues;France;"06.73.27.59.28";"06.65.65.81.98";domicile;false;283;2017;S;;2017;;;;;;;;
269;Lemonnier;Martin;M;1999-06-25;Montpellier;Hérault;France;martin.lemonnier@etu.umontpellier.fr;martin.lemonnier@gmail.com;"34 Rue Rouget de Lisle";"34400";Saint-Just;France;"06.61.64.94.70";"06.94.88.17.41";domicile;false;225;2017;S;SVT/ISN;2017;13.0;13.84;14.0;13.5;"0340881Y";Lycée Notre Dame De La Merci;Montpellier;"34"
271;Giraud;Jordan;M;1999-10-12;Montpellier;Hérault;France;jordan.giraud@etu.umontpellier.fr;jordan.giraud@gmail.com;"56 Rue de la Glacière";"34400";Lunel;France;"06.99.21.89.06";"06.64.66.32.58";domicile;false;226;2017;S;SI/ISN;2017;14.0;14.78;20.0;11.5;"0340002T";Lycée Auguste Loubatieres;Agde;"34"
272;Leleu;Grégory;M;1998-09-13;Montpellier;Hérault;France;grégory.leleu@etu.umontpellier.fr;grégory.leleu@gmail.com;"102 Impasse des Arbousiers";"34280";La Grande-Motte;France;"06.82.38.55.66";"06.80.63.76.84";domicile;true;227;2017;S;SVT/ISN;2017;13.0;12.44;12.0;12.0;"0341736C";Lycée Jean Monnet;Montpellier;"34"
273;Gueguen;Victor;M;1999-07-16;Montpellier;Hérault;France;victor.gueguen@etu.umontpellier.fr;victor.gueguen@gmail.com;"2 Rue des Bruyères";"34290";Servian;France;"06.04.97.80.14";"06.13.43.02.12";domicile;false;228;2017;S;SVT/ISN;2017;13.0;14.66;15.0;14.5;"0340030Y";Lycée Louis Feuillade;Lunel;"34"
277;Le guen;Martin;M;1999-05-28;Montpellier;Hérault;France;martin.le guen@etu.umontpellier.fr;martin.le guen@gmail.com;"3 Rue des Cévennes";"34400";Saturargues;France;"06.64.07.14.22";"06.60.61.50.93";domicile;false;233;2017;S;SVT/ISN;2017;16.0;15.23;12.0;13.5;"0660010C";Lycée Francois Arago;Perpignan;"66"
275;Loiseau;Jordan;M;1998-11-01;Montpellier;Hérault;France;jordan.loiseau@etu.umontpellier.fr;jordan.loiseau@gmail.com;"4 Rue de la Fontaine";"34990";Juvignac;France;"06.25.60.77.70";"06.10.33.36.01";domicile;false;234;2017;S;SVT/ISN;2017;10.0;11.21;14.0;15.5;"0341794R";Lycée Jean-Francois Champollion;Lattes;"34"
276;Tellier;Maxime;M;1999-08-23;Montpellier;Hérault;France;maxime.tellier@etu.umontpellier.fr;maxime.tellier@gmail.com;"10 Rue Georges Guynemer";"34470";Pérols;France;"06.63.34.76.56";"06.82.20.18.23";domicile;false;235;2017;S;SI;2017;10.0;12.0;11.0;13.5;"0340002T";Lycée Auguste Loubatieres;Agde;"34"
28;Mary;Nina;F;1999-12-05;Montpellier;Hérault;France;nina.mary@etu.umontpellier.fr;nina.mary@gmail.com;"3 Rue des Lauriers";"34540";Balaruc-les-Bains;France;"06.07.05.29.97";"06.68.42.38.72";domicile;false;238;2017;S;SVT/ISN;2017;12.0;15.23;16.0;13.5;"0301552Z";Lycée Philippe Lamour;Nîmes;"30"
29;Jacob;Fanny;F;1999-04-09;Montpellier;Hérault;France;fanny.jacob@etu.umontpellier.fr;fanny.jacob@gmail.com;"4 Impasse l'Hermitage";"34140";Mèze;France;"06.72.29.99.62";"06.94.63.68.22";domicile;true;239;2017;S;SI/MATHS;2017;11.0;10.05;11.0;9.5;"0830042V";Lycée Antoine De Saint Exupery;Saint-Raphaël;"83"
278;Louis;Dimitri;M;1998-09-03;Montpellier;Hérault;France;dimitri.louis@etu.umontpellier.fr;dimitri.louis@gmail.com;"2 Rue Françoise Dolto";"34110";Vic-la-Gardiole;France;"06.73.98.34.48";"06.85.14.70.04";domicile;true;240;2017;;;2016;15.0;12.65;15.0;12.5;"0342321N";Université de Montpellier;Montpellier;"34"
279;Dupont;Noah;M;1999-04-21;Montpellier;Hérault;France;noah.dupont@etu.umontpellier.fr;noah.dupont@gmail.com;"4 Impasse Alcide Viala";"34300";Agde;France;"06.10.86.88.22";"06.37.46.91.08";domicile;false;241;2017;S;SI/ISN;2017;14.0;13.5;16.0;9.0;"0300026R";Lycée Dhuoda;Nîmes;"30"
266;Guiraud;Gabin;M;1999-02-13;Montpellier;Hérault;France;gabin.guiraud@etu.umontpellier.fr;gabin.guiraud@gmail.com;"22 Allée des Platanes";"34980";Montferrier-sur-Lez;France;"06.68.23.17.93";"06.12.54.93.47";domicile;false;243;2017;S;SI/ISN;2017;13.0;13.42;16.0;15.0;"0340042L";Lycée Jean Mermoz;Montpellier;"34"
317;Besse;Noë;M;1999-08-12;Montpellier;Hérault;France;noë.besse@etu.umontpellier.fr;noë.besse@gmail.com;"29 Allée des Pervenches";"34340";Marseillan;France;"06.39.43.87.86";"06.15.13.55.29";domicile;true;245;2017;S;SI/MATHS;2017;10.0;10.21;15.0;7.0;"0300002P";Lycée Jean-Baptiste Dumas;Ales;"30"
281;Lecocq;Yanis;M;1997-08-06;Montpellier;Hérault;France;yanis.lecocq@etu.umontpellier.fr;yanis.lecocq@gmail.com;"8 Impasse des Marjories";"34990";Juvignac;France;"06.15.95.12.35";"06.02.25.72.74";domicile;false;246;2017;;;2016;17.0;11.44;9.0;8.0;"0572081C";Université de Lorraine -Site de Metz;Metz;"57"
30;Blot;Marine;F;1999-09-04;Montpellier;Hérault;France;marine.blot@etu.umontpellier.fr;marine.blot@gmail.com;"3 Rue de la Grive Musicienne";"34560";Villeveyrac;France;"06.13.26.18.02";"06.66.20.51.38";domicile;false;247;2017;S;SVT/MATHS;2017;15.0;14.02;15.0;13.5;"0340881Y";Lycée Notre Dame De La Merci;Montpellier;"34"
282;Cousin;Léonard;M;1999-12-07;Montpellier;Hérault;France;léonard.cousin@etu.umontpellier.fr;léonard.cousin@gmail.com;"82 Rue du Grenache";"34970";Lattes;France;"06.59.83.17.06";"06.18.10.53.90";domicile;false;248;2017;S;SI/ISN;2017;16.0;12.76;13.0;9.0;"0340002T";Lycée Auguste Loubatieres;Agde;"34"
283;Vidal;Thomas;M;1999-06-15;Montpellier;Hérault;France;thomas.vidal@etu.umontpellier.fr;thomas.vidal@gmail.com;"2Y Route des Cévennes";"34380";Saint-Martin-de-Londres;France;"06.40.63.28.54";"06.18.40.18.56";domicile;false;249;2017;S;SVT/ISN;2017;13.0;10.84;17.0;11.5;"0340059E";Lycée Jean Moulin;Pézenas;"34"
31;Daniel;Elsa;F;1998-12-22;Montpellier;Hérault;France;elsa.daniel@etu.umontpellier.fr;elsa.daniel@gmail.com;"34 Rue Jeanne de Charrin";"34080";Montpellier;France;"06.76.55.42.80";"06.26.51.91.68";domicile;false;251;2017;CPES;;2016;14.0;16.05;16.0;11.5;"0720896H";Lycée Militaire Prytanee National;La Fleche;"72"
285;Levy;Tristan;M;1999-12-24;Montpellier;Hérault;France;tristan.levy@etu.umontpellier.fr;tristan.levy@gmail.com;"2 Rue du Four de Grille";"34770";Gigean;France;"06.36.28.12.53";"06.91.66.75.09";domicile;false;252;2017;S;SVT/ISN;2017;13.0;14.23;14.0;11.5;"0301552Z";Lycée Philippe Lamour;Nîmes;"30"
286;Duval;Théo;M;2000-01-19;Montpellier;Hérault;France;théo.duval@etu.umontpellier.fr;théo.duval@gmail.com;"76 Boulevard Antonin Injalbert";"34500";Béziers;France;"06.40.49.87.56";"06.08.14.83.28";domicile;false;253;2017;S;SVT/MATHS;2017;17.0;12.34;12.0;5.5;"0340038G";Lycée Joffre;Montpellier;"34"
318;Legrand;Anthony;M;1999-06-01;Montpellier;Hérault;France;anthony.legrand@etu.umontpellier.fr;anthony.legrand@gmail.com;"24 Avenue du Bois de Boulogne";"34560";Poussan;France;"06.92.98.49.57";"06.31.46.62.27";domicile;false;254;2017;S;SVT/SVT;2017;15.0;15.72;16.0;14.5;"0840004Y";Lycée Theodore Aubanel;Avignon;"84"
288;Lenoir;Tom;M;2000-02-11;Montpellier;Hérault;France;tom.lenoir@etu.umontpellier.fr;tom.lenoir@gmail.com;"3 Cours Louis Philippe";"34480";Saint-Geniès-de-Fontedit;France;"06.48.59.28.35";"06.74.46.66.72";domicile;false;256;2017;S;SI/ISN;2017;19.0;17.02;20.0;17.5;"0300125Y";Lycée De La Salle;Ales;"30"
289;Billard;Mathieu;M;1999-06-10;Montpellier;Hérault;France;mathieu.billard@etu.umontpellier.fr;mathieu.billard@gmail.com;"15 Rue Frédéric Georges";"34070";Montpellier;France;"06.38.74.04.97";"06.04.54.36.72";domicile;true;257;2017;S;SVT/ISN;2017;18.0;15.34;10.0;14.5;"0341921D";Lycée Georges Pompidou;Castelnau-le-Lez;"34"
291;Julien;Killian;M;1999-11-10;Montpellier;Hérault;France;killian.julien@etu.umontpellier.fr;killian.julien@gmail.com;"120 Rue des Lavandières";"34160";Galargues;France;"06.92.03.28.17";"06.55.74.18.23";domicile;false;258;2017;;;2016;15.0;15.23;18.0;14.0;"0342321N";Université de Montpellier;Montpellier;"34"
292;Pasquier;Simon;M;1999-04-27;Montpellier;Hérault;France;simon.pasquier@etu.umontpellier.fr;simon.pasquier@gmail.com;"15 Chemin de Fonginescau";"34560";Poussan;France;"06.68.89.20.27";"06.02.33.62.57";domicile;false;259;2017;S;SVT/ISN;2017;17.0;14.65;12.0;12.0;"0341921D";Lycée Georges Pompidou;Castelnau-le-Lez;"34"
294;Godard;Gabriel;M;1999-06-14;Montpellier;Hérault;France;gabriel.godard@etu.umontpellier.fr;gabriel.godard@gmail.com;"12 Lotissement Tabarie";"34350";Vendres;France;"06.05.81.70.41";"06.50.87.26.66";domicile;true;261;2017;ES;MATHS;2017;;;;;"0840015K";Lycée Jean Henri Fabre;Carpentras;"84"
295;Gregoire;Lilian;M;1999-02-04;Montpellier;Hérault;France;lilian.gregoire@etu.umontpellier.fr;lilian.gregoire@gmail.com;"1 Traverse de l'Escoutaire";"34830";Clapiers;France;"06.79.47.89.67";"06.15.76.91.06";domicile;false;262;2017;STI2D;SIN;2017;;;;;"0840015K";Lycée Jean Henri Fabre;Carpentras;"84"
270;Marchand;Paul;M;2000-12-15;Montpellier;Hérault;France;paul.marchand@etu.umontpellier.fr;paul.marchand@gmail.com;"7 Route de Dio";"34650";Lunas;France;"06.57.88.07.26";"06.24.30.99.45";domicile;false;224;2017;S;SI/ISN;2017;16.0;17.84;16.0;18.5;"0341794R";Lycée Jean-Francois Champollion;Lattes;"34"
25;Da costa;Kimberley;F;1999-03-09;Montpellier;Hérault;France;kimberley.da costa@etu.umontpellier.fr;kimberley.da costa@gmail.com;"5 Rue des Lavoirs";"34725";Saint-André-de-Sangonis;France;"06.82.69.05.07";"06.96.31.71.87";domicile;false;213;2017;S;SVT/PC;2017;13.0;14.97;14.0;15.0;"0071397F";Lycée Le Cheylard;Le Cheylard;"7"
263;Guillou;Timothée;M;1998-12-09;Montpellier;Hérault;France;timothée.guillou@etu.umontpellier.fr;timothée.guillou@gmail.com;"5 Place de la Fontaine";"34310";Montels;France;"06.55.55.04.62";"06.24.12.69.16";domicile;true;215;2017;S;SVT/ISN;2017;16.0;15.37;19.0;14.5;"0340040J";Lycée Jules Guesde;Montpellier;"34"
319;Legendre;Maxime;M;1999-06-22;Montpellier;Hérault;France;maxime.legendre@etu.umontpellier.fr;maxime.legendre@gmail.com;"7 Les Cabanisses";"34800";Péret;France;"06.86.66.96.00";"06.04.13.42.87";domicile;true;280;2017;STI2D;SIN;2017;;;;;"0341521U";Lycée St Joseph Pierre Rouge;Montferrier-sur-Lez;"34"
167;Benard;Yohan;M;1998-08-06;Montpellier;Hérault;France;yohan.benard@etu.umontpellier.fr;yohan.benard@gmail.com;"4 Rue des Pichoulines";"34120";Pézenas;France;"06.62.77.51.19";"06.75.49.12.53";domicile;false;78;2016;S;SVT/ISN;2016;12.55;13.26;;;"0341915X";Lycée Frédéric BAZILLE - Agropolis (Classes EN);Montpellier;"34"
296;Thiery;Mael;M;1999-05-22;Montpellier;Hérault;France;mael.thiery@etu.umontpellier.fr;mael.thiery@gmail.com;"3 Rue du Pradinels";"34480";Magalas;France;"06.62.90.12.94";"06.52.53.82.59";domicile;true;264;2017;S;SVT/ISN;2017;13.0;12.05;15.0;8.0;"0340023R";Lycée Rene Gosse;Clermont-l'Hérault;"34"
297;Berger;Léo;M;1998-06-22;Montpellier;Hérault;France;léo.berger@etu.umontpellier.fr;léo.berger@gmail.com;"6 Rue Salvador Allende";"34725";Saint-André-de-Sangonis;France;"06.52.77.24.69";"06.46.58.14.15";domicile;false;265;2017;STI2D;SIN;2017;;;;;"0110007Y";Lycée Jules Fil;Carcassonne;"11"
320;Maurice;Gilbert;M;1999-09-03;Montpellier;Hérault;France;gilbert.maurice@etu.umontpellier.fr;gilbert.maurice@gmail.com;"219 Rue de Villerouge-Termenès";"34500";Béziers;France;"06.99.94.65.46";"06.48.44.08.03";domicile;false;266;2017;STI2D;SIN;2017;;;;;"0340042L";Lycée Jean Mermoz;Montpellier;"34"
298;Lefevre;Julien;M;1999-05-10;Montpellier;Hérault;France;julien.lefevre@etu.umontpellier.fr;julien.lefevre@gmail.com;"87 Rue de la Campagne";"34230";Puilacher;France;"06.49.17.72.71";"06.55.40.65.41";domicile;false;267;2017;S;SVT/ISN;2017;10.0;12.05;12.0;10.5;"0950640E";Lycée Julie-Victoire Daubié;Argenteuil;"95"
299;Lemaitre;Alexis;M;1999-05-17;Montpellier;Hérault;France;alexis.lemaitre@etu.umontpellier.fr;alexis.lemaitre@gmail.com;"3 Rue Gilbert Coscoll";"34500";Béziers;France;"06.42.43.38.09";"06.38.79.71.50";domicile;false;268;2017;S;SVT/SVT;2017;13.0;12.81;15.0;13.5;"0341921D";Lycée Georges Pompidou;Castelnau-le-Lez;"34"
300;Vasseur;Noë;M;1999-07-26;Montpellier;Hérault;France;noë.vasseur@etu.umontpellier.fr;noë.vasseur@gmail.com;"997 Avenue de la République";"34400";Lunel-Viel;France;"06.54.12.85.42";"06.24.20.93.29";domicile;false;269;2017;S;SI;2017;15.0;13.07;12.0;10.5;"0340002T";Lycée Auguste Loubatieres;Agde;"34"
290;Nguyen;Robin;M;1999-04-16;Montpellier;Hérault;France;robin.nguyen@etu.umontpellier.fr;robin.nguyen@gmail.com;"6 Rue Molière";"34490";Thézan-lès-Béziers;France;"06.53.01.74.00";"06.22.74.61.65";domicile;false;270;2017;S;SI/MATHS;2017;13.0;11.18;10.0;10.5;"0340011C";Lycée polyvalent Jean Moulin;Béziers;"34"
301;Duval;Martin;M;1999-10-14;Montpellier;Hérault;France;martin.duval@etu.umontpellier.fr;martin.duval@gmail.com;"84 Chemin du Chateau de Montbrun";"34700";Lodève;France;"06.79.42.38.57";"06.66.10.23.45";domicile;false;271;2017;S;SI/ISN;2017;10.0;11.73;15.0;11.0;"0340011C";Lycée polyvalent Jean Moulin;Béziers;"34"
303;Didier;Émile;M;1999-09-02;Montpellier;Hérault;France;émile.didier@etu.umontpellier.fr;émile.didier@gmail.com;"5 Avenue Général de Goys";"34450";Vias;France;"06.43.43.18.79";"06.97.18.27.48";domicile;false;272;2017;S;SVT/ISN;2017;15.0;14.44;15.0;8.0;"0840075A";Lycée St Louis;Orange;"84"
302;Leblanc;Dylan;M;1999-04-12;Montpellier;Hérault;France;dylan.leblanc@etu.umontpellier.fr;dylan.leblanc@gmail.com;"6 Impasse Molière";"34760";Boujan-sur-Libron;France;"06.34.25.67.04";"06.06.28.95.61";domicile;false;273;2017;STI2D;SIN;2017;;;;;"0340076Y";Lycée Irene et Frederic Joliot Curie;Sete;"34"
32;Delahaye;Clara;F;1998-03-10;Montpellier;Hérault;France;clara.delahaye@etu.umontpellier.fr;clara.delahaye@gmail.com;"14 Rue de la Plie";"34200";Sète;France;"06.96.09.68.93";"06.95.98.57.29";domicile;true;274;2017;;;2016;12.0;14.0;16.0;15.0;"0690192J";INSA Lyon;Villeurbanne;"69"
